 Tue, 27 Nov 2001 21:28:20 -0800 (PST)enron_update@concureworkplace.com@ENRON|steffes|
 Mon, 26 Nov 2001 13:33:02 -0800 (PST)
 Wed, 19 Dec 2001 08:37:13 -0800 (PST)
 Wed, 24 Oct 2001 08:36:08 -0700 (PDT)
 Mon, 26 Nov 2001 13:01:58 -0800 (PST)
 Fri, 21 Dec 2001 13:15:07 -0800 (PST)
 Mon, 29 Oct 2001 10:56:09 -0800 (PST)
 Mon, 29 Oct 2001 19:06:37 -0800 (PST)
 Wed, 24 Oct 2001 08:14:37 -0700 (PDT)
 Mon, 26 Nov 2001 09:32:06 -0800 (PST)
 Fri, 21 Dec 2001 06:42:42 -0800 (PST)
 Fri, 23 Nov 2001 14:10:02 -0800 (PST)
 Mon, 26 Nov 2001 12:49:55 -0800 (PST)
 Sun, 25 Nov 2001 15:15:46 -0800 (PST)
 Mon, 26 Nov 2001 09:15:24 -0800 (PST)
 Tue, 27 Nov 2001 08:39:40 -0800 (PST)
 Mon, 26 Nov 2001 07:35:47 -0800 (PST)
 Mon, 26 Nov 2001 13:47:19 -0800 (PST)
 Thu, 15 Nov 2001 10:51:49 -0800 (PST)
 Mon, 29 Oct 2001 15:37:15 -0800 (PST)
 Tue, 20 Nov 2001 06:05:11 -0800 (PST)
 Thu, 20 Dec 2001 08:19:14 -0800 (PST)
 Wed, 14 Nov 2001 06:55:13 -0800 (PST)
 Sat, 22 Dec 2001 18:50:58 -0800 (PST)
 Tue, 27 Nov 2001 11:32:04 -0800 (PST)
 Wed, 5 Sep 2001 11:15:55 -0700 (PDT)
 Thu, 15 Nov 2001 13:46:02 -0800 (PST)
 Fri, 21 Dec 2001 12:59:21 -0800 (PST)
 Fri, 28 Dec 2001 09:04:54 -0800 (PST)
 Wed, 24 Oct 2001 07:59:51 -0700 (PDT)
 Mon, 17 Dec 2001 18:00:24 -0800 (PST)
 Tue, 20 Nov 2001 10:50:12 -0800 (PST)
 Thu, 15 Nov 2001 06:06:27 -0800 (PST)
 Fri, 28 Dec 2001 13:05:59 -0800 (PST)
 Fri, 9 Nov 2001 15:13:55 -0800 (PST)
 Mon, 26 Nov 2001 10:36:57 -0800 (PST)
 Tue, 23 Oct 2001 15:18:49 -0700 (PDT)
 Fri, 9 Nov 2001 21:00:14 -0800 (PST)
 Fri, 23 Nov 2001 10:05:32 -0800 (PST)
 Thu, 20 Dec 2001 17:26:09 -0800 (PST)
 Thu, 15 Nov 2001 13:10:25 -0800 (PST)
 Tue, 27 Nov 2001 12:53:04 -0800 (PST)
 Tue, 20 Nov 2001 08:25:13 -0800 (PST)
 Wed, 21 Nov 2001 07:57:25 -0800 (PST)
 Mon, 29 Oct 2001 16:45:05 -0800 (PST)
 Mon, 26 Nov 2001 11:09:53 -0800 (PST)
 Tue, 4 Dec 2001 18:49:07 -0800 (PST)
 Mon, 26 Nov 2001 05:52:02 -0800 (PST)
